# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.5841,8.7371,0.7996,0.7996
-0.5965,8.7377,0.7957,0.7957
-0.6064,8.7336,0.7962,0.7962
-0.6131,8.7240,0.8032,0.8032
-0.6198,8.7150,0.8101,0.8101
-0.6307,8.7124,0.8090,0.8090
-0.6432,8.7128,0.8046,0.8046
-0.6530,8.7096,0.8058,0.8058
-0.6609,8.7034,0.8107,0.8107
-0.6679,8.6951,0.8168,0.8168
-0.6753,8.6858,0.8216,0.8216
-0.6841,8.6775,0.8239,0.8239
-0.6952,8.6753,0.8267,0.8267
-0.7056,8.6707,0.8302,0.8302
-0.7143,8.6601,0.8322,0.8322
-0.7233,8.6514,0.8312,0.8312
-0.7342,8.6500,0.8268,0.8268
-0.7444,8.6446,0.8261,0.8261
-0.7531,8.6336,0.8291,0.8291
-0.7620,8.6256,0.8296,0.8296
-0.7721,8.6250,0.8242,0.8242
-0.7814,8.6198,0.8230,0.8230
-0.7901,8.6098,0.8261,0.8261
-0.7994,8.6008,0.8283,0.8283
-0.8089,8.5922,0.8295,0.8295
-0.8127,8.5810,0.8325,0.8325
-0.8152,8.5705,0.8329,0.8329
-0.8227,8.5640,0.8269,0.8269
-0.8315,8.5585,0.8187,0.8187
-0.8371,8.5507,0.8131,0.8131
-0.8378,8.5392,0.8122,0.8122
-0.8427,8.5313,0.8072,0.8072
-0.8490,8.5242,0.8010,0.8010
-0.8513,8.5135,0.7987,0.7987
-0.8561,8.5053,0.7939,0.7939
-0.8616,8.4978,0.7884,0.7884
-0.8634,8.4866,0.7866,0.7866
-0.8629,8.4731,0.7871,0.7871
-0.8693,8.4665,0.7807,0.7807
-0.8753,8.4595,0.7747,0.7747
-0.8757,8.4469,0.7743,0.7743
-0.8744,8.4326,0.7756,0.7756
-0.8743,8.4195,0.7757,0.7757
-0.8782,8.4104,0.7718,0.7718
-0.8848,8.4040,0.7652,0.7652
-0.8877,8.3940,0.7623,0.7623
-0.8874,8.3806,0.7626,0.7626
-0.8875,8.3677,0.7625,0.7625
-0.8877,8.3549,0.7623,0.7623
-0.8877,8.3419,0.7623,0.7623
-0.8872,8.3284,0.7628,0.7628
-0.8869,8.3151,0.7631,0.7631
-0.8882,8.3034,0.7618,0.7618
-0.8923,8.2945,0.7577,0.7577
-0.8976,8.2868,0.7524,0.7524
-0.9010,8.2772,0.7490,0.7490
-0.9007,8.2639,0.7493,0.7493
-0.8991,8.2493,0.7509,0.7509
-0.9005,8.2377,0.7495,0.7495
-0.9068,8.2310,0.7432,0.7432
-0.9123,8.2234,0.7378,0.7378
-0.9129,8.2111,0.7371,0.7371
-0.9127,8.1979,0.7373,0.7373
-0.9126,8.1848,0.7374,0.7374
-0.9125,8.1717,0.7375,0.7375
-0.9124,8.1586,0.7376,0.7376
-0.9124,8.1456,0.7376,0.7376
-0.9124,8.1326,0.7376,0.7376
-0.9124,8.1196,0.7376,0.7376
-0.9125,8.1067,0.7375,0.7375
-0.9125,8.0937,0.7375,0.7375
-0.9125,8.0807,0.7375,0.7375
-0.9125,8.0677,0.7375,0.7375
-0.9125,8.0547,0.7375,0.7375
-0.9125,8.0417,0.7375,0.7375
-0.9125,8.0287,0.7375,0.7375
-0.9125,8.0157,0.7375,0.7375
-0.9125,8.0027,0.7375,0.7375
-0.9125,7.9897,0.7375,0.7375
-0.9125,7.9767,0.7375,0.7375
-0.9125,7.9637,0.7375,0.7375
-0.9125,7.9507,0.7375,0.7375
-0.9125,7.9377,0.7375,0.7375
-0.9125,7.9247,0.7375,0.7375
-0.9125,7.9117,0.7375,0.7375
-0.9125,7.8987,0.7375,0.7375
-0.9125,7.8857,0.7375,0.7375
-0.9125,7.8727,0.7375,0.7375
-0.9125,7.8597,0.7375,0.7375
-0.9125,7.8467,0.7375,0.7375
-0.9125,7.8337,0.7375,0.7375
-0.9125,7.8207,0.7375,0.7375
-0.9125,7.8077,0.7375,0.7375
-0.9125,7.7947,0.7375,0.7375
-0.9125,7.7817,0.7375,0.7375
-0.9125,7.7687,0.7375,0.7375
-0.9125,7.7557,0.7375,0.7375
-0.9125,7.7427,0.7375,0.7375
-0.9125,7.7297,0.7375,0.7375
-0.9125,7.7167,0.7375,0.7375
-0.9125,7.7037,0.7375,0.7375
-0.9125,7.6907,0.7375,0.7375
-0.9125,7.6777,0.7375,0.7375
-0.9125,7.6647,0.7375,0.7375
-0.9125,7.6517,0.7375,0.7375
-0.9125,7.6387,0.7375,0.7375
-0.9125,7.6257,0.7375,0.7375
-0.9125,7.6127,0.7375,0.7375
-0.9125,7.5997,0.7375,0.7375
-0.9125,7.5867,0.7375,0.7375
-0.9125,7.5737,0.7375,0.7375
-0.9125,7.5607,0.7375,0.7375
-0.9125,7.5477,0.7375,0.7375
-0.9125,7.5347,0.7375,0.7375
-0.9125,7.5217,0.7375,0.7375
-0.9125,7.5087,0.7375,0.7375
-0.9125,7.4957,0.7375,0.7375
-0.9125,7.4827,0.7375,0.7375
-0.9125,7.4697,0.7375,0.7375
-0.9125,7.4567,0.7375,0.7375
-0.9125,7.4437,0.7375,0.7375
-0.9125,7.4307,0.7375,0.7375
-0.9125,7.4177,0.7375,0.7375
-0.9125,7.4047,0.7375,0.7375
-0.9125,7.3917,0.7375,0.7375
-0.9125,7.3787,0.7375,0.7375
-0.9125,7.3657,0.7375,0.7375
-0.9125,7.3527,0.7375,0.7375
-0.9125,7.3397,0.7375,0.7375
-0.9125,7.3267,0.7375,0.7375
-0.9125,7.3137,0.7375,0.7375
-0.9125,7.3007,0.7375,0.7375
-0.9125,7.2877,0.7375,0.7375
-0.9125,7.2747,0.7375,0.7375
-0.9125,7.2617,0.7375,0.7375
-0.9125,7.2487,0.7375,0.7375
-0.9125,7.2357,0.7375,0.7375
-0.9125,7.2227,0.7375,0.7375
-0.9125,7.2097,0.7375,0.7375
-0.9125,7.1967,0.7375,0.7375
-0.9125,7.1837,0.7375,0.7375
-0.9125,7.1707,0.7375,0.7375
-0.9125,7.1577,0.7375,0.7375
-0.9125,7.1447,0.7375,0.7375
-0.9125,7.1317,0.7375,0.7375
-0.9125,7.1187,0.7375,0.7375
-0.9126,7.1057,0.7375,0.7375
-0.9126,7.0927,0.7375,0.7375
-0.9126,7.0797,0.7375,0.7375
-0.9126,7.0667,0.7375,0.7375
-0.9125,7.0537,0.7375,0.7375
-0.9125,7.0407,0.7375,0.7375
-0.9125,7.0277,0.7375,0.7375
-0.9125,7.0147,0.7375,0.7375
-0.9125,7.0017,0.7375,0.7375
-0.9125,6.9887,0.7375,0.7375
-0.9125,6.9757,0.7375,0.7375
-0.9125,6.9627,0.7375,0.7375
-0.9125,6.9497,0.7375,0.7375
-0.9125,6.9367,0.7375,0.7375
-0.9125,6.9237,0.7375,0.7375
-0.9124,6.9107,0.7375,0.7375
-0.9124,6.8977,0.7375,0.7375
-0.9124,6.8847,0.7375,0.7375
-0.9124,6.8717,0.7375,0.7375
-0.9124,6.8587,0.7375,0.7375
-0.9123,6.8457,0.7375,0.7375
-0.9123,6.8327,0.7375,0.7375
-0.9123,6.8197,0.7375,0.7375
-0.9124,6.8067,0.7375,0.7375
-0.9124,6.7937,0.7375,0.7375
-0.9125,6.7807,0.7375,0.7375
-0.9127,6.7676,0.7375,0.7375
-0.9129,6.7545,0.7375,0.7375
-0.9132,6.7414,0.7375,0.7375
-0.9134,6.7283,0.7375,0.7375
-0.9115,6.7161,0.7375,0.7375
-0.9052,6.7056,0.7376,0.7376
-0.8999,6.6949,0.7375,0.7375
-0.8994,6.6822,0.7373,0.7373
-0.9005,6.6685,0.7378,0.7378
-0.9003,6.6556,0.7377,0.7377
-0.8966,6.6462,0.7343,0.7343
-0.8908,6.6390,0.7286,0.7286
-0.8874,6.6294,0.7251,0.7251
-0.8868,6.6170,0.7244,0.7244
-0.8871,6.6038,0.7245,0.7245
-0.8873,6.5906,0.7246,0.7246
-0.8874,6.5775,0.7247,0.7247
-0.8875,6.5644,0.7248,0.7248
-0.8876,6.5513,0.7249,0.7249
-0.8876,6.5382,0.7250,0.7250
-0.8877,6.5252,0.7251,0.7251
-0.8877,6.5122,0.7252,0.7252
-0.8876,6.4992,0.7252,0.7252
-0.8876,6.4862,0.7252,0.7252
-0.8876,6.4732,0.7252,0.7252
-0.8875,6.4603,0.7252,0.7252
-0.8875,6.4473,0.7252,0.7252
-0.8875,6.4344,0.7252,0.7252
-0.8874,6.4214,0.7251,0.7251
-0.8874,6.4084,0.7250,0.7250
-0.8874,6.3955,0.7249,0.7249
-0.8874,6.3825,0.7248,0.7248
-0.8874,6.3695,0.7246,0.7246
-0.8875,6.3564,0.7245,0.7245
-0.8875,6.3434,0.7244,0.7244
-0.8876,6.3303,0.7245,0.7245
-0.8876,6.3173,0.7247,0.7247
-0.8876,6.3042,0.7252,0.7252
-0.8876,6.2912,0.7259,0.7259
